Judet,Numar de cazuri confirmate(total),Numar de cazuri nou confirmate,Incidenta  inregistrata la 14 zile,Date
Alba,10224,128,4.38,2020-12-03
Arad,11622,162,4.74,2020-12-03
Arges,14462,167,4.74,2020-12-03
Bacau,13433,126,2.58,2020-12-03
Bihor,14457,173,3.41,2020-12-03
Bistrita-Nasaud,5945,58,2.37,2020-12-03
Botosani,6399,108,2.46,2020-12-03
Brasov,19602,230,5.38,2020-12-03
Braila,5879,69,3.02,2020-12-03
Buzau,6714,56,2.17,2020-12-03
Caras-Severin,4945,38,2.47,2020-12-03
Calarasi,4584,74,3.2,2020-12-03
Cluj,22574,399,5.82,2020-12-03
Constanta,18300,318,7.15,2020-12-03
Covasna,4257,33,2.16,2020-12-03
Dambovita,11799,151,3.15,2020-12-03
Dolj,12560,133,2.88,2020-12-03
Galati,10996,76,3.22,2020-12-03
Giurgiu,4261,93,2.85,2020-12-03
Gorj,4440,36,1.32,2020-12-03
Harghita,4731,34,1.17,2020-12-03
Hunedoara,9100,118,3.41,2020-12-03
Ialomita,4910,96,3.67,2020-12-03
Iasi,20839,316,2.91,2020-12-03
Ilfov,16138,242,7.12,2020-12-03
Maramures,8787,70,2.37,2020-12-03
Mehedinti,4098,63,2.37,2020-12-03
Mures,12311,86,3.2,2020-12-03
Neamt,9500 ,53,1.68,2020-12-03
Olt,7574,111,1.19,2020-12-03
Prahova,19644,142,3.55,2020-12-03
Satu Mare,5785,99,3.51,2020-12-03
Salaj,5582,21,2.36,2020-12-03
Sibiu,14356,69,5.78,2020-12-03
Suceava,13367,126,1.81,2020-12-03
Teleorman,5738,105,2.36,2020-12-03
Timis,19637,287,4.0,2020-12-03
Tulcea,3856,48,2.6,2020-12-03
Vaslui,7964,108,2.09,2020-12-03
Valcea,8197,90,2.6,2020-12-03
Vrancea,5721,115,1.6,2020-12-03
Mun. Bucuresti,69821 ,767,5.42,2020-12-03
